iniNr,id,Tipo,iniTipo,iniDescTipo,iniLeg,iniSel,dataInicioleg,dataFimleg,iniTitulo,iniTextoSubst,iniLinkTexto,iniEventos,iniAutorDeputados,iniAutorOutros,iniId,iniAutorGruposParlamentares,iniTextoSubstCampo,fase,iniAutorOutros_sigla,iniAutorOutros_nome,autor,resultado,reuniao,tipoReuniao,PSD,CH,IL,BE,PS,L,PCP,PAN,data,descricao,iniAnexos,idComissao,nomeComissao,competenteComissao,unanime,ausencias,António Maló De Abreu (Ninsc),peticoes,iniObs,publicacao,iniciativasOrigem,ano,leg
37,103582,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Aprova a Lei das Grandes Opções para 2022-2026,SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338314e7a49344f47466c4d53316c4f474d354c54526a4e5455745957566c5a5330334f47597a4d7a4d3159544a694f5451755a47396a&fich=57288ae1-e8c9-4c55-aeee-78f3335a2b94.doc&Inline=true,,,,152006,,Substituição do texto da iniciativa a pedido do autor em 2022-10-26.,Baixa comissão distribuição inicial generalidade,V,Governo,Governo,Aprovado,24,,A Favor,Ausência,A Favor,Ausência,A Favor,,Ausência,,2022-10-25,Votação de Parecer,,8329,Comissão de Orçamento e Finanças,N,unanime,CH,,,,,,2022,l15
37,103595,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Aprova a Lei das Grandes Opções para 2022-2026,SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338314e7a49344f47466c4d53316c4f474d354c54526a4e5455745957566c5a5330334f47597a4d7a4d3159544a694f5451755a47396a&fich=57288ae1-e8c9-4c55-aeee-78f3335a2b94.doc&Inline=true,,,,152006,,Substituição do texto da iniciativa a pedido do autor em 2022-10-26.,Baixa comissão distribuição inicial generalidade,V,Governo,Governo,Aprovado,18,,A Favor,A Favor,Ausência,Ausência,A Favor,,Ausência,,2022-10-25,Votação do parecer ,,8329,Comissão de Orçamento e Finanças,N,unanime,IL,,,,,,2022,l15
37,103597,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Aprova a Lei das Grandes Opções para 2022-2026,SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338314e7a49344f47466c4d53316c4f474d354c54526a4e5455745957566c5a5330334f47597a4d7a4d3159544a694f5451755a47396a&fich=57288ae1-e8c9-4c55-aeee-78f3335a2b94.doc&Inline=true,,,,152006,,Substituição do texto da iniciativa a pedido do autor em 2022-10-26.,Baixa comissão distribuição inicial generalidade,V,Governo,Governo,Aprovado,11,,,,,,,,Ausência,,2022-10-25,,,8329,Comissão de Orçamento e Finanças,N,unanime,PCP,,,,,,2022,l15
38,103598,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Aprova o Orçamento do Estado para 2023,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338354e6a51304e474e6a4d7930305a4451794c5451784e6a59744f44526a4f43316b4d4441314d44566a4e7a59784d3259755a47396a&fich=96444cc3-4d42-4166-84c8-d00505c7613f.doc&Inline=true,,,,152005,,,Baixa comissão distribuição inicial generalidade,V,Governo,Governo,Aprovado,11,,,Ausência,,Ausência,,,Ausência,,2022-10-25,,,8329,Comissão de Orçamento e Finanças,N,unanime,CH,,,,,,2022,l15
38,103593,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Aprova o Orçamento do Estado para 2023,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338354e6a51304e474e6a4d7930305a4451794c5451784e6a59744f44526a4f43316b4d4441314d44566a4e7a59784d3259755a47396a&fich=96444cc3-4d42-4166-84c8-d00505c7613f.doc&Inline=true,,,,152005,,,Baixa comissão distribuição inicial generalidade,V,Governo,Governo,Aprovado,49,,A Favor,A Favor,Ausência,Ausência,A Favor,Ausência,Ausência,Ausência,2022-10-26,,,8329,Comissão de Orçamento e Finanças,N,unanime,IL,,,,,,2022,l15
37,103594,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Aprova a Lei das Grandes Opções para 2022-2026,SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338314e7a49344f47466c4d53316c4f474d354c54526a4e5455745957566c5a5330334f47597a4d7a4d3159544a694f5451755a47396a&fich=57288ae1-e8c9-4c55-aeee-78f3335a2b94.doc&Inline=true,,,,152006,,Substituição do texto da iniciativa a pedido do autor em 2022-10-26.,Baixa comissão distribuição inicial generalidade,V,Governo,Governo,Aprovado,49,,A Favor,A Favor,Ausência,Ausência,A Favor,Ausência,Ausência,Ausência,2022-10-26,,,8329,Comissão de Orçamento e Finanças,N,unanime,IL,,,,,,2022,l15
28,103606,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Procede à restruturação do Ponto Único de Contacto para a Cooperação Policial Internacional,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338324e6d4d345a4451305a43316d595441324c5451324f4449744f574e685a5330324f4442695a444d354d4755355a5759755a47396a65413d3d&fich=66c8d44d-fa06-4682-9cae-680bd390e9ef.docx&Inline=true,,,,141828,,,Votação final global,V,Governo,Governo,Aprovado,54,RP,Contra,Contra,Contra,Contra,A Favor,Contra,Contra,Contra,2022-10-27,"Texto Final apresentado pela Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias relativo à Proposta de Lei n.º 28/XV/1.ª (GOV)",,8325,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias",N,,,,,,,,2022,l15
180,103603,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Regulamentação da instalação de novos projetos de centrais fotovoltaicas,SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396b597a526a5a6d59315a43316b4d5449794c5451334e4749744f546b325a433034596a4e6d5a47466b4d7a63784d5751755a47396a65413d3d&fich=dc4cff5d-d122-474b-996d-8b3fdad3711d.docx&Inline=true,,,,131785,PAN,Substituição do texto da iniciativa a pedido do autor em 2022-08-01.,Votação Deliberação,G,Grupos Parlamentares,PAN,Rejeitado,54,RP,Abstenção,Abstenção,Contra,A Favor,Contra,A Favor,Abstenção,A Favor,2022-10-27,,,8335,Comissão de Ambiente e Energia,S,,,,,,,,2022,l15
255,103604,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Plano Nacional de combate a perdas de água,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953383159574a6d4d4745304d7930304f5755334c54517a4e5755744f47566b4e5330334e5759785a54637a4d4755335a4749755a47396a65413d3d&fich=5abf0a43-49e7-435e-8ed5-75f1e730e7db.docx&Inline=true,,,,151973,CH,,Votação Deliberação,G,Grupos Parlamentares,CH,Rejeitado,54,RP,A Favor,A Favor,A Favor,A Favor,Contra,Abstenção,Abstenção,A Favor,2022-10-27,,,8335,Comissão de Ambiente e Energia,S,,,,,,,,2022,l15
37,103601,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Aprova a Lei das Grandes Opções para 2022-2026,SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338314e7a49344f47466c4d53316c4f474d354c54526a4e5455745957566c5a5330334f47597a4d7a4d3159544a694f5451755a47396a&fich=57288ae1-e8c9-4c55-aeee-78f3335a2b94.doc&Inline=true,,,,152006,,Substituição do texto da iniciativa a pedido do autor em 2022-10-26.,Votação na generalidade,V,Governo,Governo,Aprovado,54,RP,Contra,Contra,Contra,Contra,A Favor,Abstenção,Contra,Abstenção,2022-10-27,,,8329,Comissão de Orçamento e Finanças,N,,,,,,,,2022,l15
38,103602,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Aprova o Orçamento do Estado para 2023,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338354e6a51304e474e6a4d7930305a4451794c5451784e6a59744f44526a4f43316b4d4441314d44566a4e7a59784d3259755a47396a&fich=96444cc3-4d42-4166-84c8-d00505c7613f.doc&Inline=true,,,,152005,,,Votação na generalidade,V,Governo,Governo,Aprovado,54,RP,Contra,Contra,Contra,Contra,A Favor,Abstenção,Contra,Abstenção,2022-10-27,,,8329,Comissão de Orçamento e Finanças,N,,,,,,,,2022,l15
282,103626,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Deslocação do Presidente da República ao Catar,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338314d54526b4e324a6d4e4331684f575a6b4c5451795a444d74596d45785a53316d596a67345a574931596d566a597a6b755a47396a&fich=514d7bf4-a9fd-42d3-ba1e-fb88eb5becc9.doc&Inline=true,,,,152047,,,Votação Deliberação,R,PAR,PAR,Aprovado,56,RP,A Favor,Abstenção,Contra,Contra,A Favor,Contra,A Favor,Contra,2022-11-22,,,8326,Comissão de Negócios Estrangeiros e Comunidades Portuguesas,S,,,,,,,,2022,l15
38,103628,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Aprova o Orçamento do Estado para 2023,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338354e6a51304e474e6a4d7930305a4451794c5451784e6a59744f44526a4f43316b4d4441314d44566a4e7a59784d3259755a47396a&fich=96444cc3-4d42-4166-84c8-d00505c7613f.doc&Inline=true,,,,152005,,,Votação final global,V,Governo,Governo,Aprovado,59,RP,Contra,Contra,Contra,Contra,A Favor,Abstenção,Contra,Abstenção,2022-11-25,,,8329,Comissão de Orçamento e Finanças,N,,,,,,,,2022,l15
37,103627,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Aprova a Lei das Grandes Opções para 2022-2026,SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338314e7a49344f47466c4d53316c4f474d354c54526a4e5455745957566c5a5330334f47597a4d7a4d3159544a694f5451755a47396a&fich=57288ae1-e8c9-4c55-aeee-78f3335a2b94.doc&Inline=true,,,,152006,,Substituição do texto da iniciativa a pedido do autor em 2022-10-26.,Votação final global,V,Governo,Governo,Aprovado,59,RP,Contra,Contra,Contra,Contra,A Favor,Abstenção,Contra,Abstenção,2022-11-25,Texto Final apresentado pela Comissão de Orçamento e Finanças relativo à Proposta de Lei n.º 37/XV/1.ª (GOV),,8329,Comissão de Orçamento e Finanças,N,,,,,,,,2022,l15
348,103644,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,Aprova o regime específico relativo à reparação dos danos emergentes de acidentes de trabalho dos praticantes desportivos profissionais,SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c3259533835596a51354d474a684d7930785a4745334c5452694e6d55744f5449784f4330314d4455304e54566a4e6d466c597a59755a47396a65413d3d&fich=9b490ba3-1da7-4b6e-9218-505455c6aec6.docx&Inline=true,,,,152008,PS,Substituição do texto da iniciativa a pedido do autor em 2022-10-11.,Votação na generalidade,G,Grupos Parlamentares,PS,Aprovado,61,RP,A Favor,A Favor,Abstenção,Abstenção,A Favor,Abstenção,Abstenção,Abstenção,2022-12-02,,,8334,"Comissão de Trabalho, Segurança Social e Inclusão",S,,,,,,,,2022,l15
321,103675,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,Determina a universalidade da gratuidade dos manuais escolares para todos os alunos do ensino obrigatório,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396d597a4a6c4d5441775a53316d59574a6a4c54526c59325574596a51354e53307a5a44557a4e6a4d304e32566a5a6a55755a47396a&fich=fc2e100e-fabc-4ece-b495-3d536347ecf5.doc&Inline=true,,,,151943,CH,,Votação na generalidade,G,Grupos Parlamentares,CH,Rejeitado,61,RP,A Favor,A Favor,A Favor,Contra,Contra,Contra,Contra,Abstenção,2022-12-02,,,8332,Comissão de Educação e Ciência,S,,,,,,,,2022,l15
10,103641,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,"Recomenda ao Governo que ponha fim à discriminação de pessoas trans nos rastreios oncológicos para o cancro de mama, colorretal e de colo do útero",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338774d6a466a5a574e6d4d4330355a4441324c5451314e5467744f574d334f4330345a475931597a686859574a6c4e4441755a47396a&fich=021cecf0-9d06-4558-9c78-8df5c8aabe40.doc&Inline=true,,,,121354,,,Votação na generalidade,D,Deputados,Deputados,Aprovado,61,RP,Abstenção,Contra,A Favor,A Favor,Abstenção,A Favor,A Favor,A Favor,2022-12-02,,,8333,Comissão de Saúde,S,,,,,,,,2022,l15
361,103680,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,Introduz limitações e restrições à aterragem e descolagem de jatos privados em território nacional,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338794d545668597a677a597931694d546b354c5451355a4759745957597a5a433031593251795a57526c4e4467324e3251755a47396a&fich=215ac83c-b199-49df-af3d-5cd2ede4867d.doc&Inline=true,,,,152031,BE,,Votação na generalidade,G,Grupos Parlamentares,BE,Rejeitado,61,RP,Contra,Contra,Contra,A Favor,Contra,A Favor,Abstenção,A Favor,2022-12-02,,,8330,"Comissão de Economia, Obras Públicas, Planeamento e Habitação",S,,,,,,,,2022,l15
360,103679,I,J,Projeto de Lei,XV,1,2022-03-29,2023-09-14,Proíbe voos fantasma de ou para Portugal,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338354e444d775a545935596930775a445a694c5452684e6a4d7459544d344f4330784d6a5a6a596a63344f44637759324d755a47396a&fich=9430e69b-0d6b-4a63-a388-126cb78870cc.doc&Inline=true,,,,152030,BE,,Votação na generalidade,G,Grupos Parlamentares,BE,Rejeitado,61,RP,Contra,Contra,Contra,A Favor,Contra,A Favor,A Favor,A Favor,2022-12-02,,,8330,"Comissão de Economia, Obras Públicas, Planeamento e Habitação",S,,,,,,,,2022,l15
294,103669,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Recomenda a eliminação das posições intermédias nas categorias dos enfermeiros especialistas e gestores colocados na 1.ª e 2.ª posições remuneratórias e a respetiva atualização salarial ,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396d5a5449315932526a4d53307a4e7a6c6b4c5451334d4455745957466a4f533031596d49355a6a457a4d7a4d314d4467755a47396a65413d3d&fich=fe25cdc1-379d-4705-aac9-5bb9f1333508.docx&Inline=true,,,,152073,L,,Votação na generalidade,G,Grupos Parlamentares,L,Rejeitado,61,RP,Abstenção,Abstenção,Abstenção,A Favor,Contra,A Favor,A Favor,A Favor,2022-12-02,,,,,,,,,,,,,2022,l15
293,103689,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Recomenda ao Governo que proponha à Comissão Europeia um plano de recuperação e resiliência alterado,SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953387a4e4451784d444a6b4f43316a4e4751304c54526b5a546374595467334e5331695a445134596d49784d6d466a4d4455755a47396a65413d3d&fich=344102d8-c4d4-4de7-a875-bd48bb12ac05.docx&Inline=true,,,,152071,L,Substituição do título da iniciativa a pedido do autor em 2022-11-17.,Votação Deliberação,G,Grupos Parlamentares,L,Rejeitado,61,RP,Abstenção,Contra,Abstenção,A Favor,Contra,A Favor,Abstenção,A Favor,2022-12-02,,,,,,,,,,,,,2022,l15
291,103683,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Recomenda ao Governo que desenvolva uma taxa sobre os voos de jatos privados,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338305a6a646c4d3249345a5330355a5449784c54526b5a6a6b74595463335a693030596a59784f57466b4d4756694d4451755a47396a65413d3d&fich=4f7e3b8e-9e21-4df9-a77f-4b619ad0eb04.docx&Inline=true,,,,152069,L,,Votação na generalidade,G,Grupos Parlamentares,L,Rejeitado,61,RP,Contra,Contra,Contra,A Favor,Contra,A Favor,Abstenção,Abstenção,2022-12-02,,,,,,,,,,,,,2022,l15
290,103640,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,"Recomenda ao Governo que reforce o Ensino de Português no Estrangeiro nas suas diferentes dimensões e intensifique o uso das tecnologias digitais para o tornar mais atrativo, interativo e ajustado ao perfil dos alunos",SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595339694f444d3159546c6a5a69316a4d4455354c5451314e6a67744f44466c4e5330334f474a694d324a6a5a4455795a4455755a47396a65413d3d&fich=b835a9cf-c059-4568-81e5-78bb3bcd52d5.docx&Inline=true,,,,152068,PS,Substituição do texto da iniciativa a pedido do autor em 2022-11-21.,Votação na generalidade,G,Grupos Parlamentares,PS,Aprovado,61,RP,A Favor,Abstenção,A Favor,A Favor,A Favor,A Favor,Abstenção,A Favor,2022-12-02,,,8326,Comissão de Negócios Estrangeiros e Comunidades Portuguesas,S,,,,,,,,2022,l15
289,103664,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Pela defesa do ensino do português como língua materna para portugueses e lusodescendentes fora de Portugal,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396c4d3249354e7a59324d69316c5a4445334c54526a4d7a5174596d56694e4331685a544d334f446b79596a526a4d5751755a47396a65413d3d&fich=e3b97662-ed17-4c34-beb4-ae37892b4c1d.docx&Inline=true,,,,152067,IL,,Votação na generalidade,G,Grupos Parlamentares,IL,Rejeitado,61,RP,Abstenção,A Favor,A Favor,A Favor,Contra,A Favor,Abstenção,A Favor,2022-12-02,,,,,,,,,,,,,2022,l15
288,103682,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,"Pelo fim dos voos noturnos, pelo direito ao descanso e bem-estar das populações",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c3259533968596d56695a544a6c5a4330314e6a49344c545131596a63744f5749774e4331684d574977597a526b4d6a5534593245755a47396a65413d3d&fich=abebe2ed-5628-45b7-9b04-a1b0c4d258ca.docx&Inline=true,,,,152065,PCP,,Votação na generalidade,G,Grupos Parlamentares,PCP,Rejeitado,61,RP,Contra,Contra,Contra,A Favor,Contra,A Favor,A Favor,A Favor,2022-12-02,,,,,,,,,,,,,2022,l15
287,103688,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,"Recomenda ao Governo que no âmbito da revisão do PRR que vai empreender garanta a transparência sobre o impacto ambiental das alterações empreendidas e estude a inclusão de um aumento de verbas que permita criar uma componente de adaptação às alterações climáticas, assegurar uma maior ambição nos objetivos de eficiência energética e hídrica das habitações, garantir a irradiação das situações de alojamento não clássico até 2026 e reforçar os meios para a investigação e combate à corrupção",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396b4e474e6d4e7a5a6d4e6930315a6a49784c54526b596a5574595449354d533035597a6b334d574d785a444d31595459755a47396a65413d3d&fich=d4cf76f6-5f21-4db5-a291-9c971c1d35a6.docx&Inline=true,,,,152063,PAN,,Votação na generalidade,G,Grupos Parlamentares,PAN,Rejeitado,61,RP,Abstenção,Abstenção,Abstenção,A Favor,Contra,A Favor,Abstenção,A Favor,2022-12-02,,,,,,,,,,,,,2022,l15
280,103685,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,"Recomenda ao Governo que acione, junto da Comissão Europeia, o mecanismo de revisão do Plano de Recuperação e Resiliência 
",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c3259533968596a46684f444d795a4330785a6d59334c5451355a546b744f57497a597930794e6a4130595745344d44526a4d6d59755a47396a&fich=ab1a832d-1ff7-49e9-9b3c-2604aa804c2f.doc&Inline=true,,,,152040,IL,,Votação Deliberação,G,Grupos Parlamentares,IL,Rejeitado,61,RP,A Favor,A Favor,A Favor,A Favor,Contra,A Favor,Abstenção,A Favor,2022-12-02,,,8330,"Comissão de Economia, Obras Públicas, Planeamento e Habitação",S,,,,,,,,2022,l15
268,103694,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Recomenda ao Governo a implementação de um projeto de valorização ambiental e tecnológica do Parque Natural da Serra da Estrela,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338774d6d4d784f5468694f5330774e6d49354c5452694f5745745954637a4d7930354e5749334e4455334d7a686c4e6a55755a47396a&fich=02c198b9-06b9-4b9a-a733-95b745738e65.doc&Inline=true,,,,152013,CH,,Votação na generalidade,G,Grupos Parlamentares,CH,Rejeitado,61,RP,Abstenção,A Favor,Abstenção,Contra,Contra,Contra,Contra,A Favor,2022-12-02,,,8335,Comissão de Ambiente e Energia,S,,,,,,,,2022,l15
248,103671,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Recomenda ao Governo que garanta o acesso ao Lynparza® aos doentes elegíveis com cancro da mama em Portugal,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953387a4e6d59345a575579595331685a6a67344c54526b4d3245745954637a4d533034596d45304d4467334f5759305a5441755a47396a&fich=36f8ee2a-af88-4d3a-a731-8ba40879f4e0.doc&Inline=true,,,,151963,PAN,,Votação na generalidade,G,Grupos Parlamentares,PAN,Rejeitado,61,RP,A Favor,A Favor,A Favor,A Favor,Contra,A Favor,Abstenção,A Favor,2022-12-02,,,8333,Comissão de Saúde,S,,,,,,,,2022,l15
241,103695,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,"Recomenda ao Governo que proceda com urgência à implementação de um projecto que inclua reforço de “quebra-mar”, aumento de molhos e recuperação dunar com vista à protecção das pessoas e bens de São Pedro Cova Gala",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338305a4745794e4445354e7930324f5459314c5451324e6d59744f4455314e6930795954646d4d5442684d32553159324d755a47396a65413d3d&fich=4da24197-6965-466f-8556-2a7f10a3e5cc.docx&Inline=true,,,,151950,CH,,Votação Deliberação,G,Grupos Parlamentares,CH,Rejeitado,61,RP,Abstenção,A Favor,Abstenção,Abstenção,Contra,Abstenção,Abstenção,A Favor,2022-12-02,,,8335,Comissão de Ambiente e Energia,S,,,,,,,,2022,l15
239,103696,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Recomenda ao Governo a redução das taxas pagas no âmbito cinegético,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c3259533831597a466d4e6a45794e43316b4f444e684c5451335a444574595449774d53316a4d6a4e694d6d4d315a546b77597a4d755a47396a65413d3d&fich=5c1f6124-d83a-47d1-a201-c23b2c5e90c3.docx&Inline=true,,,,151948,CH,,Votação Deliberação,G,Grupos Parlamentares,CH,Rejeitado,61,RP,Abstenção,A Favor,Contra,Contra,Contra,Contra,Contra,Contra,2022-12-02,,,8331,Comissão de Agricultura e Pescas,S,,,,,,,,2022,l15
296,103690,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,"Aprovação de tabela com valores atuariais específicos para praticantes desportivos profissionais, aplicáveis à remição de pensões por acidente de trabalho",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338325a574a694d5749354d5331694d6a63314c5452695a4463744f5459324e69316d4d4449325a4455314d6a566d4e7a45755a47396a65413d3d&fich=6ebb1b91-b275-4bd7-9666-f026d5525f71.docx&Inline=true,,,,152075,CH,,Votação Deliberação,G,Grupos Parlamentares,CH,Rejeitado,61,RP,Abstenção,A Favor,Abstenção,Abstenção,Contra,Abstenção,Abstenção,Abstenção,2022-12-02,,,,,,,,,,,,,2022,l15
236,103693,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Responsabilização na revitalização do Parque Natural da Serra da Estrela ,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396a5a6a49784e44457a5a69303459546b324c5452684f5467744f5449324e793030596a646b4d54646a4e3246694f4467755a47396a&fich=cf21413f-8a96-4a98-9267-4b7d17c7ab88.doc&Inline=true,,,,151928,PSD,,Votação na generalidade,G,Grupos Parlamentares,PSD,Rejeitado,61,RP,A Favor,A Favor,Abstenção,A Favor,Contra,A Favor,Abstenção,A Favor,2022-12-02,,,8335,Comissão de Ambiente e Energia,S,,,,,,,,2022,l15
