iniNr,id,Tipo,iniTipo,iniDescTipo,iniLeg,iniSel,dataInicioleg,dataFimleg,iniTitulo,iniTextoSubst,iniLinkTexto,iniEventos,iniAutorDeputados,iniAutorOutros,iniId,iniAutorGruposParlamentares,iniTextoSubstCampo,fase,iniAutorOutros_sigla,iniAutorOutros_nome,autor,resultado,reuniao,tipoReuniao,PSD,CH,IL,BE,PS,L,PCP,PAN,data,descricao,iniAnexos,idComissao,nomeComissao,competenteComissao,unanime,ausencias,António Maló De Abreu (Ninsc),peticoes,iniObs,publicacao,iniciativasOrigem,ano,leg
2,92884,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Altera a Lei de Enquadramento Orçamental,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396a5a6d566b4e545934597930344f4751784c5451305a6a4974595451344e4330344e5455785a6d46684d445177596d51755a47396a65413d3d&fich=cfed568c-88d1-44f2-a484-8551faa040bd.docx&Inline=true,,,,121385,,,Votação na especialidade,V,Governo,Governo,Aprovado,9,RP,Abstenção,Abstenção,Abstenção,Abstenção,A Favor,A Favor,Abstenção,A Favor,2022-04-22,Artigo 3.º,,,,,,,,,,,,2022,l15
2,92885,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Altera a Lei de Enquadramento Orçamental,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396a5a6d566b4e545934597930344f4751784c5451305a6a4974595451344e4330344e5455785a6d46684d445177596d51755a47396a65413d3d&fich=cfed568c-88d1-44f2-a484-8551faa040bd.docx&Inline=true,,,,121385,,,Votação final global,V,Governo,Governo,Aprovado,9,RP,A Favor,Abstenção,Abstenção,Contra,A Favor,A Favor,Contra,Abstenção,2022-04-22,,,,,,,,,,,,,2022,l15
1,92838,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,"Consagra um pacote de medidas, de natureza extraordinária e temporária, para fazer face aos efeitos decorrentes do aumento dos preços dos combustíveis",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396b4d444d345a54557a4e5330794e6d45324c5451794f4759744f4755774d7930794d6a6c6b4d7a557a59574a6b5a6a63755a47396a65413d3d&fich=d038e535-26a6-428f-8e03-229d353abdf7.docx&Inline=true,,,,121384,,,Votação na generalidade,V,Governo,Governo,Aprovado,9,RP,A Favor,Abstenção,A Favor,A Favor,A Favor,A Favor,Abstenção,Abstenção,2022-04-22,,,,,,,,,,,,,2022,l15
1,92839,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,"Consagra um pacote de medidas, de natureza extraordinária e temporária, para fazer face aos efeitos decorrentes do aumento dos preços dos combustíveis",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396b4d444d345a54557a4e5330794e6d45324c5451794f4759744f4755774d7930794d6a6c6b4d7a557a59574a6b5a6a63755a47396a65413d3d&fich=d038e535-26a6-428f-8e03-229d353abdf7.docx&Inline=true,,,,121384,,,Votação na especialidade,V,Governo,Governo,Aprovado,9,RP,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,Abstenção,2022-04-22,Proposta de alteração do PS – emenda da alínea a) do artigo 1.º,,,,,,,,,,,,2022,l15
1,92840,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,"Consagra um pacote de medidas, de natureza extraordinária e temporária, para fazer face aos efeitos decorrentes do aumento dos preços dos combustíveis",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396b4d444d345a54557a4e5330794e6d45324c5451794f4759744f4755774d7930794d6a6c6b4d7a557a59574a6b5a6a63755a47396a65413d3d&fich=d038e535-26a6-428f-8e03-229d353abdf7.docx&Inline=true,,,,121384,,,Votação na especialidade,V,Governo,Governo,Aprovado,9,RP,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,Abstenção,A Favor,2022-04-22,Alínea b) do artigo 1.º,,,,,,,,,,,,2022,l15
2,92869,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Altera a Lei de Enquadramento Orçamental,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396a5a6d566b4e545934597930344f4751784c5451305a6a4974595451344e4330344e5455785a6d46684d445177596d51755a47396a65413d3d&fich=cfed568c-88d1-44f2-a484-8551faa040bd.docx&Inline=true,,,,121385,,,Votação na especialidade,V,Governo,Governo,Aprovado,9,RP,Abstenção,Abstenção,Abstenção,Contra,A Favor,Abstenção,Contra,Abstenção,2022-04-22,"Proposta de alteração do PS – aditamento do n.º 3 ao artigo 32.º da Lei de Enquadramento Orçamental;
Proposta de alteração do PS – aditamento do n.º 4 ao artigo 32.º da Lei de Enquadramento Orçamental.",,,,,,,,,,,,2022,l15
1,92842,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,"Consagra um pacote de medidas, de natureza extraordinária e temporária, para fazer face aos efeitos decorrentes do aumento dos preços dos combustíveis",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396b4d444d345a54557a4e5330794e6d45324c5451794f4759744f4755774d7930794d6a6c6b4d7a557a59574a6b5a6a63755a47396a65413d3d&fich=d038e535-26a6-428f-8e03-229d353abdf7.docx&Inline=true,,,,121384,,,Votação na especialidade,V,Governo,Governo,Aprovado,9,RP,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,Abstenção,Abstenção,2022-04-22,Alínea c) do artigo 1.º,,,,,,,,,,,,2022,l15
2,92883,I,P,Proposta de Lei,XV,1,2022-03-29,2023-09-14,Altera a Lei de Enquadramento Orçamental,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953396a5a6d566b4e545934597930344f4751784c5451305a6a4974595451344e4330344e5455785a6d46684d445177596d51755a47396a65413d3d&fich=cfed568c-88d1-44f2-a484-8551faa040bd.docx&Inline=true,,,,121385,,,Votação na especialidade,V,Governo,Governo,Aprovado,9,RP,Abstenção,A Favor,Abstenção,Abstenção,A Favor,A Favor,Abstenção,Abstenção,2022-04-22,Corpo do artigo 2.º,,,,,,,,,,,,2022,l15
28,92831,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,Recomenda ao Governo que complemente o Programa de Estabilidade com um Programa de Investimentos na Defesa Nacional ,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c32595338354e6d566d4e57597a5a69316d4d6a4d324c54517a5a446b7459544e6d4f43307a4d4455335a5759344d7a6c6b4f5441755a47396a65413d3d&fich=96ef5f3f-f236-43d9-a3f8-3057ef839d90.docx&Inline=true,,,,121403,CH,,Votação na generalidade,G,Grupos Parlamentares,CH,Rejeitado,9,RP,Abstenção,A Favor,Abstenção,Contra,Contra,Contra,Contra,Abstenção,2022-04-22,,,,,,,,,,,,,2022,l15
29,92832,I,R,Projeto de Resolução,XV,1,2022-03-29,2023-09-14,"Uma economia dinâmica para uma sociedade da dignidade: o programa estratégico de desenvolvimento para a sustentabilidade de Portugal.
Recomenda ao Governo que utilize os Programas de Estabilidade para focar os órgãos de governação na transição para um novo modelo de desenvolvimento, incorporando mais indicadores económicos de longo prazo, incluindo indicadores de desenvolvimento sustentável, dando prioridade aos aspetos mais diretamente ligados ao ambiente, qualidade de vida, felicidade, saúde e bem-estar",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b786c5a79394562324e31625756756447397a5357357059326c6864476c325953387759545a6d4e4451794e43307a4e54466c4c54526d597a51744f4451784f5330314d44526d5954526959574d305a6a45755a47396a65413d3d&fich=0a6f4424-351e-4fc4-8419-504fa4bac4f1.docx&Inline=true,,,,121404,L,,Votação na generalidade,G,Grupos Parlamentares,L,Rejeitado,9,RP,Contra,Contra,Contra,A Favor,Abstenção,A Favor,Abstenção,A Favor,2022-04-22,,,,,,,,,,,,,2022,l15
